label,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29,v_30,v_31,v_32,v_33,v_34,v_35,v_36,v_37,v_38,v_39,v_40,v_41,v_42,v_43,v_44,v_45,v_46,v_47,v_48,v_49,v_50,v_51,v_52,v_53,v_54,v_55,v_56,v_57,v_58,v_59,v_60,v_61,v_62
2,0.40511,0.58829,0.00000,0.47294,0.57613,-0.03760,0.53743,0.53067,-0.06907,0.55487,0.46865,-0.10140,0.51772,0.42949,-0.13249,0.53367,0.34167,-0.04896,0.55608,0.22837,-0.08605,0.56723,0.15319,-0.10628,0.57384,0.09167,-0.11979,0.47930,0.32265,-0.05363,0.51224,0.33203,-0.11263,0.50343,0.42473,-0.12565,0.49001,0.46743,-0.12142,0.42824,0.32842,-0.06120,0.45825,0.35046,-0.11383,0.45814,0.43613,-0.10314,0.45161,0.47408,-0.08301,0.38053,0.34900,-0.07265,0.40988,0.37443,-0.10417,0.41866,0.43469,-0.09370,0.41845,0.45807,-0.07720
2,0.40975,0.59869,0.00000,0.47664,0.58522,-0.03834,0.53756,0.54426,-0.07016,0.55673,0.49063,-0.10230,0.53080,0.43970,-0.13284,0.53289,0.35142,-0.05070,0.55302,0.23871,-0.08879,0.56288,0.16345,-0.11042,0.56900,0.10238,-0.12462,0.47821,0.33405,-0.05460,0.51016,0.34388,-0.11202,0.50390,0.43711,-0.12484,0.49262,0.48307,-0.12099,0.42688,0.34185,-0.06167,0.45773,0.36943,-0.11234,0.45864,0.45242,-0.10156,0.45194,0.48951,-0.08233,0.37903,0.36486,-0.07288,0.40920,0.39478,-0.10337,0.41846,0.45521,-0.09285,0.41766,0.47823,-0.07673
2,0.40866,0.61509,0.00000,0.47384,0.59933,-0.03755,0.53675,0.55858,-0.06852,0.55430,0.50385,-0.09995,0.51655,0.46147,-0.13060,0.52826,0.36835,-0.05077,0.54595,0.25297,-0.08940,0.55363,0.17621,-0.11298,0.55896,0.11291,-0.12828,0.47423,0.35262,-0.05496,0.50404,0.36110,-0.11435,0.49846,0.45141,-0.12944,0.48715,0.50290,-0.12669,0.42223,0.36200,-0.06198,0.44854,0.38889,-0.11361,0.45126,0.47097,-0.10459,0.44628,0.51496,-0.08576,0.37279,0.38527,-0.07295,0.39974,0.40911,-0.10370,0.41075,0.47029,-0.09325,0.41163,0.50178,-0.07659
2,0.40535,0.63226,-0.00000,0.47119,0.61359,-0.03451,0.53322,0.56897,-0.06335,0.55097,0.51117,-0.09332,0.51392,0.46999,-0.12270,0.52272,0.38341,-0.04913,0.53929,0.26885,-0.08680,0.54549,0.19235,-0.10967,0.54980,0.12874,-0.12449,0.46863,0.36691,-0.05394,0.49768,0.38189,-0.11271,0.49050,0.47111,-0.12712,0.47877,0.52693,-0.12418,0.41695,0.37690,-0.06119,0.44424,0.40697,-0.11198,0.44665,0.48801,-0.10315,0.44284,0.53797,-0.08427,0.36831,0.40204,-0.07223,0.39644,0.42608,-0.10320,0.40836,0.48610,-0.09379,0.41161,0.52175,-0.07749
2,0.40059,0.64638,-0.00000,0.46459,0.62547,-0.03685,0.52402,0.57946,-0.06729,0.54456,0.52345,-0.09840,0.51370,0.47668,-0.12840,0.51852,0.39705,-0.05111,0.53541,0.28571,-0.09064,0.54167,0.20953,-0.11350,0.54487,0.14721,-0.12819,0.46402,0.38019,-0.05502,0.49219,0.39562,-0.11602,0.48465,0.49056,-0.12934,0.47350,0.54362,-0.12473,0.41224,0.38950,-0.06205,0.43898,0.42221,-0.11539,0.44133,0.50500,-0.10579,0.43784,0.54917,-0.08597,0.36385,0.41373,-0.07306,0.39217,0.44289,-0.10611,0.40423,0.50426,-0.09756,0.40723,0.53432,-0.08151
2,0.39834,0.65214,-0.00000,0.46109,0.63143,-0.03591,0.52017,0.58145,-0.06551,0.53077,0.52003,-0.09561,0.49178,0.48651,-0.12466,0.51430,0.40526,-0.04978,0.53051,0.29336,-0.08648,0.53613,0.21933,-0.10703,0.53849,0.15711,-0.12090,0.45920,0.38928,-0.05404,0.48379,0.40429,-0.11266,0.47613,0.49511,-0.12601,0.46464,0.54020,-0.12226,0.40824,0.39854,-0.06092,0.43151,0.43171,-0.11339,0.43533,0.51515,-0.10426,0.43217,0.55500,-0.08491,0.36123,0.42101,-0.07140,0.38760,0.45297,-0.10312,0.39981,0.51455,-0.09352,0.40200,0.54269,-0.07714
2,0.39436,0.65943,0.00000,0.45748,0.63782,-0.03750,0.51617,0.59204,-0.06880,0.52576,0.53355,-0.10010,0.49063,0.49322,-0.13005,0.50832,0.41409,-0.05364,0.52468,0.30449,-0.09166,0.53040,0.22962,-0.11308,0.53304,0.16676,-0.12725,0.45353,0.39616,-0.05726,0.48124,0.41175,-0.11598,0.47451,0.50091,-0.12943,0.46378,0.54685,-0.12560,0.40323,0.40426,-0.06342,0.42864,0.44020,-0.11567,0.43238,0.52272,-0.10625,0.43041,0.56407,-0.08691,0.35729,0.42675,-0.07340,0.38296,0.46164,-0.10589,0.39574,0.52323,-0.09699,0.40011,0.55200,-0.08075
2,0.39522,0.66500,0.00000,0.45806,0.64326,-0.03446,0.51637,0.59633,-0.06463,0.52579,0.53722,-0.09534,0.48677,0.50494,-0.12487,0.50519,0.41920,-0.05242,0.52072,0.31078,-0.08921,0.52552,0.23706,-0.11056,0.52759,0.17425,-0.12528,0.44956,0.40077,-0.05758,0.47873,0.42392,-0.11414,0.47456,0.50807,-0.12804,0.46417,0.54941,-0.12599,0.39918,0.41104,-0.06479,0.42809,0.45280,-0.11373,0.43308,0.53004,-0.10484,0.42975,0.56611,-0.08732,0.35434,0.43709,-0.07577,0.38430,0.47587,-0.10525,0.39717,0.53195,-0.09646,0.39993,0.55595,-0.08149
2,0.39365,0.67042,0.00000,0.45644,0.64651,-0.03493,0.51319,0.59917,-0.06611,0.52371,0.54123,-0.09802,0.48491,0.51349,-0.12898,0.50003,0.42183,-0.05301,0.51499,0.31460,-0.09039,0.51999,0.24015,-0.11219,0.52213,0.17814,-0.12696,0.44460,0.40476,-0.05812,0.47361,0.42873,-0.11563,0.47066,0.51317,-0.12938,0.46080,0.55790,-0.12665,0.39486,0.41661,-0.06535,0.42490,0.46074,-0.11431,0.43121,0.53662,-0.10531,0.42833,0.57639,-0.08745,0.35078,0.44435,-0.07668,0.38136,0.48599,-0.10612,0.39494,0.54153,-0.09787,0.39815,0.56793,-0.08310
2,0.39390,0.67425,0.00000,0.45684,0.64832,-0.03365,0.51134,0.59884,-0.06578,0.52421,0.54194,-0.09948,0.48405,0.51900,-0.13247,0.48486,0.41763,-0.05322,0.50195,0.31432,-0.09151,0.50884,0.24155,-0.11391,0.51310,0.18088,-0.12894,0.42939,0.40500,-0.06008,0.46945,0.43014,-0.11703,0.46852,0.51475,-0.12995,0.45786,0.55995,-0.12692,0.38204,0.42250,-0.06906,0.42755,0.46855,-0.11734,0.43248,0.54323,-0.10785,0.42613,0.58286,-0.09005,0.34227,0.45700,-0.08213,0.38423,0.49999,-0.11088,0.39646,0.55433,-0.10240,0.39576,0.58173,-0.08783
2,0.38560,0.67793,0.00000,0.44934,0.64618,-0.02932,0.50559,0.59435,-0.05859,0.52197,0.53668,-0.09054,0.48203,0.52564,-0.12235,0.46647,0.41702,-0.04540,0.48644,0.31508,-0.07949,0.49572,0.24360,-0.09920,0.50254,0.18355,-0.11259,0.41437,0.40828,-0.05311,0.46291,0.43730,-0.10493,0.46304,0.52123,-0.11588,0.45116,0.56793,-0.11259,0.37118,0.43013,-0.06282,0.42551,0.47534,-0.10712,0.43010,0.54743,-0.09746,0.42257,0.58746,-0.08029,0.33565,0.46757,-0.07631,0.38409,0.50413,-0.10154,0.39448,0.55608,-0.09234,0.39113,0.58506,-0.07810
2,0.38248,0.68173,0.00000,0.44434,0.64802,-0.02697,0.50002,0.59586,-0.05602,0.51830,0.54184,-0.08832,0.47965,0.53157,-0.12067,0.45860,0.41741,-0.04441,0.47739,0.31570,-0.07830,0.48594,0.24345,-0.09795,0.49318,0.18362,-0.11134,0.40574,0.40908,-0.05329,0.45804,0.44387,-0.10370,0.45713,0.52769,-0.11402,0.44405,0.57166,-0.11114,0.36231,0.43380,-0.06396,0.42112,0.48154,-0.10638,0.42386,0.55070,-0.09641,0.41418,0.58638,-0.08008,0.32613,0.47463,-0.07825,0.37726,0.51260,-0.10221,0.38692,0.56136,-0.09284,0.38208,0.58734,-0.07904
